ChEMBLID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles,Inchi Key
CHEMBL7728,HEXOBARBITAL,ENHEXYMAL|Evipal|HEXOBARBITAL|HEXOBARBITAL CIII|NSC-71929|Sombucaps|Sombulex,Small molecule,0,236.27,18,46,1.2,66.48,3,1,0,1,N,0.55,7.41,None,1.25,0.95,0,MOL,0,17,5,1,0,236.1161,NEUTRAL,C12H16N2O3,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,UYXAWHWODHRRMR-UHFFFAOYSA-N
CHEMBL492,ETIDOCAINE,Duranest [as hydrochloride]|ETIDOCAINE|Etidocaine|W-19053|W-19053 [AS HYDROCHLORIDE],Small molecule,4,276.42,10,17,3.75,32.34,2,1,0,7,N,0.82,13.62,8.59,4.46,3.25,1,MOL,0,20,3,1,0,276.2202,BASE,C17H28N2O,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,VTUSIVBDOCDNHS-UHFFFAOYSA-N
CHEMBL444,BARBITAL,BARBITAL|BARBITONE|DIEMAL|DIETHYLBARBITURIC ACID|NSC-31352,Small molecule,4,184.19,12,30,0.16,75.27,3,2,0,2,N,0.6,7.48,None,0.72,0.46,0,MOL,0,13,5,2,0,184.0848,NEUTRAL,C8H12N2O3,CCC1(CC)C(=O)NC(=O)NC1=O,FTOAOBMCPZCFFF-UHFFFAOYSA-N
CHEMBL2110959,METABUTETHAMINE,METABUTETHAMINE,Small molecule,0,236.31,,,1.67,64.35,4,2,0,6,N,0.45,None,9.67,2.03,-0.2,1,MOL,0,17,4,3,0,236.1525,BASE,C13H20N2O2,CC(C)CNCCOC(=O)c1cccc(N)c1,BXMFKNRZTLNAFY-UHFFFAOYSA-N
CHEMBL328560,SULTHIAME,Conadil|OSPOLOT|RIKER 594|RIKER-594|SULTHIAME|SULTIAME|Trolone,Small molecule,4,290.37,27,137,0.26,97.54,4,1,0,2,N,0.84,10.55,None,-0.27,-0.27,1,MOL,0,18,6,2,0,290.0395,NEUTRAL,C10H14N2O4S2,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1,HMHVCUVYZFYAJI-UHFFFAOYSA-N
CHEMBL284092,GEPIRONE,Ariza|BMY-13805|GEPIRONE|ORG-13011|Variza,Small molecule,2,359.47,16,50,1.55,69.64,6,0,0,6,N,0.57,None,7.62,1.35,0.93,1,MOL,0,26,7,0,0,359.2321,NEUTRAL,C19H29N5O2,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,QOIGKGMMAGJZNZ-UHFFFAOYSA-N
CHEMBL285674,ESTAZOLAM,ABBOTT-47631|ESTAZOLAM|ESTAZOLAM CIV|Eurodin|NSC-290818|Prosom,Small molecule,4,294.75,14,72,3.27,43.07,4,0,0,1,N,0.69,None,4.9,2.9,2.9,3,MOL,0,21,4,0,0,294.0672,NEUTRAL,C16H11ClN4,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,CDCHDCWJMGXXRH-UHFFFAOYSA-N
CHEMBL1201293,ACAMPROSATE,ACAMPROSATE,Small molecule,4,181.21,5,19,-0.6,83.47,3,2,0,4,N,0.45,-0.88,None,-2.75,-4.1,0,MOL,0,11,5,2,0,181.0409,ACID,C5H11NO4S,CC(=O)NCCCS(=O)(=O)O,AFCGFAGUEYAMAO-UHFFFAOYSA-N
CHEMBL16264,ETHER,ANAESTHETIC ETHER|DIETHYL ETHER|ETHER|ETHER ANAESTHESICUS|ETHERUM|ETHYL ETHER|ETHYL OXIDE|NSC-100036|PRONARCOL|SOLVENT ETHER,Small molecule,2,74.12,4,16,1.04,9.23,1,0,0,2,Y,0.48,None,None,0.84,0.84,0,MOL,0,5,1,0,0,74.0732,NEUTRAL,C4H10O,CCOCC,RTZKZFJDLAIYFH-UHFFFAOYSA-N
CHEMBL14376,ILOPERIDONE,FANAPT|HP 873|HP-873|ILOPERIDONE,Small molecule,4,426.49,22,57,4.83,64.8,6,0,0,8,N,0.38,None,7.91,3.22,2.6,3,MOL,0,31,6,0,0,426.1955,NEUTRAL,C24H27FN2O4,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,XMXHEBAFVSFQEX-UHFFFAOYSA-N
CHEMBL501613,MEPARFYNOL,ATEMORIN|Dormison|MEPARFYNOL|METHYLPARAFYNOL|METHYLPENTYNOL|NSC-28797|OBLIVON,Small molecule,4,98.14,5,22,0.78,20.23,1,1,0,1,Y,0.48,None,None,0.93,0.93,0,MOL,0,7,1,1,0,98.0732,NEUTRAL,C6H10O,C#CC(C)(O)CC,QXLPXWSKPNOQLE-UHFFFAOYSA-N
CHEMBL2104292,HEXAPROPYMATE,HEXAPROPYMATE|MERINAX|NSC-169094,Small molecule,0,181.24,,,1.81,52.32,2,1,0,2,Y,0.66,None,None,1.83,1.83,0,MOL,0,13,3,2,0,181.1103,NEUTRAL,C10H15NO2,C#CCC1(OC(N)=O)CCCCC1,MIRHIEAGDGUXKL-UHFFFAOYSA-N
CHEMBL1102,GLUTETHIMIDE,Doriden|ELRODORM|GLUTETHIMIDE|Glutethimide|NOXYRON|NSC-95239|RIGENOX|SARODORMIN,Small molecule,4,217.27,28,46,1.77,46.17,2,1,0,2,Y,0.77,11.69,None,2.13,2.13,1,MOL,0,16,3,1,0,217.1103,NEUTRAL,C13H15NO2,CCC1(c2ccccc2)CCC(=O)NC1=O,JMBQKKAJIKAWKF-UHFFFAOYSA-N
CHEMBL404422,BUTETHAL,BUTETHAL|BUTOBARBITAL|BUTOBARBITONE|Butobarbital|NSC-229336|Neonal|SONERYL,Small molecule,4,212.25,7,12,0.94,75.27,3,2,0,4,N,0.68,7.48,None,1.61,1.35,0,MOL,0,15,5,2,0,212.1161,NEUTRAL,C10H16N2O3,CCCCC1(CC)C(=O)NC(=O)NC1=O,STDBAQMTJLUMFW-UHFFFAOYSA-N
CHEMBL2104116,CHLORHEXADOL,CHLORALODOL|CHLORHEXADOL|Lora,Small molecule,0,265.56,,,2.24,49.69,3,2,0,4,N,0.61,9.67,None,1.82,1.82,0,MOL,0,14,3,2,0,264.0087,NEUTRAL,C8H15Cl3O3,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl,QVFWZNCVPCJQOP-UHFFFAOYSA-N
CHEMBL2104238,BUTANILICAINE,BUTACETOLUIDE|BUTANILICAINE,Small molecule,0,254.76,,,2.98,41.13,2,2,0,6,N,0.77,12.3,8.69,3.16,1.85,1,MOL,0,17,3,2,0,254.1186,BASE,C13H19ClN2O,CCCCNCC(=O)Nc1c(C)cccc1Cl,VWYQKFLLGRBICZ-UHFFFAOYSA-N
CHEMBL1201317,TRICLOFOS,NEGUVON|TRI-BETA-CHLOROETHYLPHOSPHATE|TRICLOFOS|Triclofos,Small molecule,4,229.38,,,1.47,66.76,2,2,0,2,N,0.56,1.17,None,0.93,-2.65,0,MOL,0,10,4,2,0,227.8913,ACID,C2H4Cl3O4P,O=P(O)(O)OCC(Cl)(Cl)Cl,YYQRGCZGSFRBAM-UHFFFAOYSA-N
CHEMBL1515611,BROMISOVALUM,.ALPHA.-BROMISOVALERYLUREA|2-BROMO-3-METHYLBUTYRYLUREA|BROMISOVAL|BROMISOVALUM|BROMOVALUREE|BROMVALERYLUREA|BROMVALETONE|BROVARIN|Bromural|CALMOTIN|DAGRABROMYL|DIBROLUUR|DORMIGENE|UPIOL|UVALERAL,Small molecule,0,223.07,111,546,0.6,72.19,2,2,0,2,N,0.67,10.95,None,0.8,0.8,0,MOL,0,11,4,3,0,222.0004,NEUTRAL,C6H11BrN2O2,CC(C)C(Br)C(=O)NC(N)=O,CMCCHHWTTBEZNM-UHFFFAOYSA-N
CHEMBL1075733,VALNOCTAMIDE,Axiquel|MCN-X-181|NSC-32363|NSC-34092|VALNOCTAMIDE,Small molecule,3,143.23,4,12,1.54,43.09,1,1,0,4,N,0.64,None,None,1.83,1.83,0,MOL,0,10,2,2,0,143.131,NEUTRAL,C8H17NO,CCC(C)C(CC)C(N)=O,QRCJOCOSPZMDJY-UHFFFAOYSA-N
CHEMBL2105385,PHENOPERIDINE,DL-PHENOPERIDINE|FENOPERIDINE|IDS-NP-010|NIH 7591|NIH-7591|PHENOPERIDINE|R 1406|R-1406,Small molecule,0,367.49,3,21,3.71,49.77,4,1,0,7,N,0.76,None,8.62,3.61,2.37,2,MOL,0,27,4,1,0,367.2147,BASE,C23H29NO3,CCOC(=O)C1(c2ccccc2)CCN(CCC(O)c2ccccc2)CC1,IPOPQVVNCFQFRK-UHFFFAOYSA-N
CHEMBL447,SECOBARBITAL,(RS)-SECOBARBITAL|EVRONAL|HYPOTROL|IMMENOX|MEBALLYMAL|QUINALBARBITAL|SECOBARBITAL|SECOBARBITAL CII|SECOBARBITAL SODIUM FREE ACID|SECOBARBITONE|SOMATARAX|Secobarbital|Seconal,Small molecule,4,238.29,115,705,1.35,75.27,3,2,0,5,N,0.56,7.48,None,2.03,1.77,0,MOL,0,17,5,2,0,238.1317,NEUTRAL,C12H18N2O3,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,KQPKPCNLIDLUMF-UHFFFAOYSA-N
CHEMBL279816,TRICHLOROETHYLENE,ANAMENTH|Chlorylen|DENSINFLUAT|GERMALGENE|NARKOSOID|TRICHLOROETHENE|TRICHLOROETHYLENE|TRILENE|WESTROSOL,Small molecule,4,131.39,18,197,2.5,0,0,0,0,0,Y,0.47,None,None,2.18,2.18,0,MOL,0,5,0,0,0,129.9144,None,C2HCl3,ClC=C(Cl)Cl,XSTXAVWGXDQKEL-UHFFFAOYSA-N
CHEMBL2105345,PROPANIDID,BAYER 1420|BAYER-1420|Epontol|FBA 1420|FBA-1420|PROPANIDID|TH-2180|WH 5668|WH-5668,Small molecule,4,337.42,8,19,2.44,65.07,5,0,0,10,N,0.61,None,None,2.15,2.15,1,MOL,0,24,6,0,0,337.1889,NEUTRAL,C18H27NO5,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1,KEJXLQUPYHWCNM-UHFFFAOYSA-N
